id,"title","thumbnail_image"
2,"Herbal Essences","herbal_essences"
3,"Maybelline","maybelline"
4,"Ralph Lauren","ralph_lauren"
5,"DBA","dba"
6,"Elizabeth Arden","elizabeth_arden"
7,"MAC","mac"
8,"Uniqlo","uniqlo"
9,"Olay","olay"
10,"Goodskin Labs","goodskin_labs"
11,"Calvin Klein","calvin_klein"
13,"Tiffany","tiffany"
14,"DVF","dvf"
16,"H&M","hm"
17,"Giorgio Armani","giorgio_armani"
18,"Tom Ford","tom_ford"
19,"BVLGARI","bvlgari"
20,"Yves Saint Laurent","yves_saint_laurent"
22,"Nine West","nine_west"
24,"Viktor & Ralph","viktor_rolph"
25,"Chanel","chanel"
26,"7 For All Mankind","7_for_all_mankind"
28,"Roxy","roxy"
29,"L'Oreal","loreal"
30,"The Limited","the_limited"
31,"Lancome","lancome"
32,"MAKE UP FOR EVER","make_up_for_ever"
33,"Chaps","chaps"
